source,url,description,country,company,title
fin_news_nlp/yahoo_cad_tickers_news,https://ca.finance.yahoo.com/news/adcore-provides-guidance-fourth-quarter-213000532.html,"Adcore Inc. (the ""Company"" or ""Adcore"") (TSX:ADCO)(OTCQX:ADCOF)(FSE:ADQ)(TSX:ADCO-WT), a leading e-commerce advertising management and automation platform to leverage digital marketing in an effortless and accessible way (""Effortless Marketing""), today provided preliminary guidance for its fourth quarter ending December 31, 2022. Additionally, the Company announced the appointment of Zehavit Dan as General Counsel and Corporate Secretary.",CAD,ADCO.TO,ACCESSWIRE - Adcore Provides Guidance for Fourth Quarter 2022
fin_news_nlp/yahoo_cad_tickers_news,https://ca.finance.yahoo.com/news/most-actively-traded-companies-toronto-231953080.html,"TORONTO — Some of the most active companies traded Friday on the Toronto Stock Exchange: Toronto Stock Exchange (19,443.28, down 157.35 points.) Barrick Gold Corp. (TSX:ABX). Materials. Up 38 cents, or 1.67 per cent, to $23.14 on 19 million shares. Enbridge Inc. (TSX:ENB). Energy. Down 64 cents, or 1.20 per cent, to $52.54 on 18.6 million shares. Manulife Financial Corp. (TSX:MFC). Financials. Up four cents, or 0.17 per cent, to $23.97 on 18 million shares. Suncor Energy Inc. (TSX:SU). Energy. D",CAD,AOI.TO, - Most actively traded companies on the Toronto Stock Exchange
fin_news_nlp/yahoo_cad_tickers_news,https://ca.finance.yahoo.com/news/airboss-comments-action-002100954.html,"NEWMARKET, Ontario, Dec. 16, 2022 (GLOBE NEWSWIRE) -- AirBoss of America Corp. (TSX: BOS)(OTCQX:ABSSF) (the “Company” or “AirBoss”) announced today that it has become aware that a statement of claim was issued (under the Class Proceedings Act, 1992) in the Ontario Superior Court of Justice against AirBoss and several named officers. The proceedings have been commenced by Jonathan A. Callowhill and Shane Chambers, who seek an order for leave to proceed under the Securities Act (Ontario), certifyi",CAD,BOS.TO,GlobeNewswire - AirBoss Comments on Action
fin_news_nlp/yahoo_cad_tickers_news,https://ca.finance.yahoo.com/news/sitting-cash-2-tsx-stocks-153000452.html,Here's why Algonquin Power (TSX:AQN) and Suncor Energy (TSX:SU) are two top TSX stocks to consider buying right now. The post Sitting on Cash? These 2 TSX Stocks Are Great Buys Today But Won’t Be Forever appeared first on The Motley Fool Canada.,CAD,AQN.TO,The Motley Fool - Sitting on Cash? These 2 TSX Stocks Are Great Buys Today But Won’t Be Forever
fin_news_nlp/yahoo_cad_tickers_news,https://ca.finance.yahoo.com/news/next-tsx-stock-m-going-140000893.html,Ballard Power is a TSX growth stock trading at a massive discount to consensus price target estimates. Let's see what else makes BLDP stock a buy. The post Here’s the Next TSX Stock I’m Going to Buy appeared first on The Motley Fool Canada.,CAD,BLDP.TO, - Here’s the Next TSX Stock I’m Going to Buy
fin_news_nlp/yahoo_cad_tickers_news,https://ca.finance.yahoo.com/news/tfsa-beat-market-2023-locking-150000348.html,PetValu Holdings (TSX:PET) and another affordable TSX stock may make for interesting value options for your TFSA. The post TFSA: Beat the Market in 2023 by Locking In Bargains Now appeared first on The Motley Fool Canada.,CAD,BMO.TO,The Motley Fool - TFSA: Beat the Market in 2023 by Locking In Bargains Now
fin_news_nlp/yahoo_cad_tickers_news,https://ca.finance.yahoo.com/news/buy-bmo-stock-td-stock-220000109.html,Bank of Montreal and TD are making big acquisitions in the United States. The post Should You Buy BMO Stock or TD Stock for U.S. Exposure? appeared first on The Motley Fool Canada.,CAD,BMO.TO,The Motley Fool - Should You Buy BMO Stock or TD Stock for U.S. Exposure?
fin_news_nlp/yahoo_cad_tickers_news,https://ca.finance.yahoo.com/news/3-best-dividend-stocks-tfsa-160000698.html,Are you hoping to add TFSA stocks to your portfolio? Here are three must-haves! The post The 3 Best Dividend Stocks for Your TFSA appeared first on The Motley Fool Canada.,CAD,BNS.TO,The Motley Fool - The 3 Best Dividend Stocks for Your TFSA
fin_news_nlp/yahoo_cad_tickers_news,https://ca.finance.yahoo.com/news/tfsa-passive-income-3-undervalued-200000622.html,Top TSX dividend stocks are now on sale. The post TFSA Passive Income: 3 Undervalued TSX Dividend Stocks to Buy Now appeared first on The Motley Fool Canada.,CAD,BNS.TO,The Motley Fool - TFSA Passive Income: 3 Undervalued TSX Dividend Stocks to Buy Now
fin_news_nlp/yahoo_cad_tickers_news,https://ca.finance.yahoo.com/news/1-oversold-dividend-stock-yielding-213000183.html,"Right now is a great time to pick up this dividend stock that holds Aristocrat status and see shares bring in potentially $1,400 in returns within a year! The post 1 Oversold Dividend Stock (Yielding 6%) to Buy Before the New Year appeared first on The Motley Fool Canada.",CAD,BCE.TO,The Motley Fool - 1 Oversold Dividend Stock (Yielding 6%) to Buy Before the New Year
fin_news_nlp/yahoo_cad_tickers_news,https://ca.finance.yahoo.com/news/bull-market-eventually-coming-2-153000777.html,Here are two of the best Canadian growth stocks you can buy now to hold forever. The post A Bull Market Is Eventually Coming: 2 Perfect Growth Stocks to Buy Now and Hold Forever appeared first on The Motley Fool Canada.,CAD,BB.TO,The Motley Fool - A Bull Market Is Eventually Coming: 2 Perfect Growth Stocks to Buy Now and Hold Forever
fin_news_nlp/yahoo_cad_tickers_news,https://ca.finance.yahoo.com/news/five-things-watch-canadian-business-150000086.html,TORONTO — Five things to watch for in the Canadian business world in the coming week: Markets It is the last full week of trading on the Toronto Stock Exchange for what has been a difficult year for many investors. Stock markets continued to come under pressure last week after the U.S. Federal Reserve raised its key interest rate and suggested rates will still have to go higher next year. Retail sales Statistics Canada will release retail sales figures for October on Tuesday. The agency's early,CAD,BB.TO, - Five things to watch for in the Canadian business world in the coming week
fin_news_nlp/yahoo_cad_tickers_news,https://ca.finance.yahoo.com/news/hit-1-million-fast-blue-140000132.html,"Let's end the debate right now. If you sold at all-time highs, would a growth stock make you $1 million? Or is a blue-chip stock the better bet? The post How to Hit $1 Million Fast – Blue-Chip or Growth Stocks? appeared first on The Motley Fool Canada.",CAD,CM.TO,The Motley Fool - How to Hit $1 Million Fast – Blue-Chip or Growth Stocks?
fin_news_nlp/yahoo_cad_tickers_news,https://ca.finance.yahoo.com/news/passive-income-2-high-yield-210000966.html,Top TSX dividend stocks are on sale for investors seeking reliable passive income. The post Passive Income: 2 High-Yield Stocks for Retirees to Buy Now appeared first on The Motley Fool Canada.,CAD,CM.TO,The Motley Fool - Passive Income: 2 High-Yield Stocks for Retirees to Buy Now
fin_news_nlp/yahoo_cad_tickers_news,https://ca.finance.yahoo.com/news/u-legalization-won-t-save-183000288.html,"Some people think that U.S. legalization will save cannabis stocks like Canopy Growth Corp (TSX:WEED), but it doesn't look likely. The post U.S. Legalization Won’t Save Cannabis Stocks appeared first on The Motley Fool Canada.",CAD,WEED.TO,The Motley Fool - U.S. Legalization Won’t Save Cannabis Stocks
fin_news_nlp/yahoo_cad_tickers_news,https://ca.finance.yahoo.com/news/2-tsx-stocks-d-buy-143000772.html,Constellation Software stock and Brookfield Asset Management stock can be excellent long-term additions to your portfolio at current levels. The post The 2 TSX Stocks I’d Buy Right Now and Hold Forever appeared first on The Motley Fool Canada.,CAD,CSU.TO,The Motley Fool - The 2 TSX Stocks I’d Buy Right Now and Hold Forever
fin_news_nlp/yahoo_cad_tickers_news,https://ca.finance.yahoo.com/news/investor-buy-2-growth-stocks-161500320.html,Here's why Boyd Group (TSX:BYD) and Constellation Software (TSX:CSU) are two top growth stocks to buy in this current market. The post New Investor? Buy These 2 Growth Stocks appeared first on The Motley Fool Canada.,CAD,CSU.TO,The Motley Fool - New Investor? Buy These 2 Growth Stocks
fin_news_nlp/yahoo_cad_tickers_news,https://ca.finance.yahoo.com/news/ultimate-growth-stocks-buy-1-203000724.html,"Looking for growth stocks you can invest in with $1,000? Here are some of the ultimate growth stocks to consider right now. The post The Ultimate Growth Stocks to Buy With $1,000 Right Now appeared first on The Motley Fool Canada.",CAD,DOL.TO,"The Motley Fool - The Ultimate Growth Stocks to Buy With $1,000 Right Now"
fin_news_nlp/yahoo_cad_tickers_news,https://ca.finance.yahoo.com/m/bdd575ae-ea0e-3960-b91d-35ab7c3841e9/got-%245%2C000%3F-3-stocks-to-hold.html,"Investors who plug into these megatrends by investing in stocks poised to capitalize on them should do very well over the next couple of decades.  A great way to start is by investing $5,000 or so across American Tower (NYSE: AMT), Brookfield Infrastructure (NYSE: BIPC)(NYSE: BIP), and Enbridge (NYSE: ENB).",CAD,ENB.TO,"Motley Fool - Got $5,000? 3 Stocks to Hold for the Next 20 Years"
fin_news_nlp/yahoo_cad_tickers_news,https://ca.finance.yahoo.com/news/euro-sun-announces-appointment-ryan-220000556.html,"TORONTO, Dec. 16, 2022 (GLOBE NEWSWIRE) -- Euro Sun Mining Inc. (TSX: ESM) (“Euro Sun” or the “Company”) is pleased to announce the appointment of Ryan Ptolemy as the newly appointed Chief Financial Officer of the Company effective immediately. Mr. Ptolemy will succeed Paul Bozoki following Mr. Bozoki’s resignation. Mr. Ptolemy is a CPA, CGA and CFA charter holder who also attained a Bachelor of Arts from Western University. Mr. Ptolemy serves as Chief Financial Officer to many public and privat",CAD,ESM.TO,GlobeNewswire - Euro Sun Announces Appointment of Ryan Ptolemy as New Chief Financial Officer
fin_news_nlp/yahoo_cad_tickers_news,https://ca.finance.yahoo.com/news/institutions-own-28-fennec-pharmaceuticals-145502995.html,Every investor in Fennec Pharmaceuticals Inc. ( NASDAQ:FENC ) should be aware of the most powerful shareholder groups...,CAD,FRX.TO,Simply Wall St. - Institutions own 28% of Fennec Pharmaceuticals Inc. (NASDAQ:FENC) shares but individual investors control 55% of the company
fin_news_nlp/yahoo_cad_tickers_news,https://ca.finance.yahoo.com/news/d-invest-50-000-tsx-190000157.html,"Here's how you can create a robust portfolio of dividend stocks on the TSX to generate a passive income stream. The post How I’d Invest $50,000 in TSX Dividend Stocks for Retirement, If I Had to Start From Scratch appeared first on The Motley Fool Canada.",CAD,FSZ.TO,"The Motley Fool - How I’d Invest $50,000 in TSX Dividend Stocks for Retirement, If I Had to Start From Scratch"
fin_news_nlp/yahoo_cad_tickers_news,https://ca.finance.yahoo.com/news/filo-mining-announces-inclusion-gdxj-220000934.html,"Filo Mining Corp. (TSX: FIL) (Nasdaq First North Growth Market: FIL) (OTCQX: FLMMF) (""Filo Mining"", or the ""Company"") is pleased to announce that it has been added to the VanEck Junior Gold Miners ETF (""GDXJ"") pursuant to the GDXJ's quarterly rebalancing, effective at market close on December 16, 2022. PDF Version",CAD,FIL.TO,CNW Group - Filo Mining Announces Inclusion in the GDXJ
fin_news_nlp/yahoo_cad_tickers_news,https://ca.finance.yahoo.com/news/panama-leaves-door-open-eleventh-150615094.html,(Bloomberg) -- A shock announcement by Panama to intervene in a privately run copper mine may not be as definitive as first thought.Most Read from BloombergMusk Asks Twitter Users to Decide If He Should Step DownTruth Is Reasserting Itself Over Trump’s LiesTrump Gets a 45-Day Extension to Provide Details on His Wealth to VotersHarry and Meghan Aren't Doing Themselves Any FavorsArgentina’s World Cup Title Caps Qatar’s Surreal TournamentFirst Quantum Minerals Ltd. continues to mine the massive Cob,CAD,FM.TO,Bloomberg - Panama Leaves Door Open to Eleventh Hour Deal for Giant Mine
