source,url,description,country,company,title
fin_news_nlp/yahoo_cad_tickers_news,https://ca.finance.yahoo.com/news/adf-endeavour-ngex-52-week-150400437.html,ADF Group Inc. (T.DRX) hit a new 52-week high of $2.35 Thursday. ADF recorded revenues of $250.9 million ...,CAD,DRX.TO," - ADF, Endeavour, NGEx at 52-Week Highs on News"
fin_news_nlp/yahoo_cad_tickers_news,https://ca.finance.yahoo.com/news/advantage-announces-renewal-normal-course-234600537.html,"Advantage Energy Ltd. (""Advantage"" or the ""Corporation"") announced today that the Corporation is proceeding with, and the Toronto Stock Exchange (the ""TSX"") has approved, the Corporation renewing its normal course issuer bid (the ""Bid"").",CAD,AAV.TO,CNW Group - Advantage Announces Renewal of Normal Course Issuer Bid and Automatic Share Purchase Plan
fin_news_nlp/yahoo_cad_tickers_news,https://ca.finance.yahoo.com/news/most-actively-traded-companies-toronto-205301887.html,"TORONTO — Some of the most active companies traded Tuesday on the Toronto Stock Exchange: Toronto Stock Exchange (20,684.68, up 42.71): Toronto-Dominion Bank. (TSX:TD). Financials. Up $1.27, or 1.55 per cent, to $83.28 on 12.1 million shares. Royal Bank of Canada. (TSX:RY). Financials. Up 76 cents, or 0.57 per cent, to $134.29 on 11.4 million shares. Sabina Gold & Silver Corp. (TSX:SBB). Basic Materials. Down three cents, or 1.39 per cent, to $2.13 on 10.5 million shares. Algonquin Power & Utili",CAD,AQN.TO, - Most actively traded companies on the Toronto Stock Exchange
fin_news_nlp/yahoo_cad_tickers_news,https://ca.finance.yahoo.com/news/arref-vs-scco-stock-better-154003493.html,ARREF vs. SCCO: Which Stock Is the Better Value Option?,CAD,ARG.TO,Zacks - ARREF vs. SCCO: Which Stock Is the Better Value Option?
fin_news_nlp/yahoo_cad_tickers_news,https://ca.finance.yahoo.com/news/atrium-mortgage-investment-tse-ai-101300297.html,The board of Atrium Mortgage Investment Corporation ( TSE:AI ) has announced that it will pay a dividend on the 12th of...,CAD,AI.TO,Simply Wall St. - Atrium Mortgage Investment (TSE:AI) Has Affirmed Its Dividend Of CA$0.075
fin_news_nlp/yahoo_cad_tickers_news,https://ca.finance.yahoo.com/news/avant-brands-reports-q1-fiscal-034300335.html,"Avant Brands Inc (TSX:AVNT)(OTCQX:AVTBF)(FRA:1BU0)(""Avant"" or the ""Company""), a leading producer of innovative and award-winning cannabis products, today reported its financial results for the first quarter ended February 28, 2023, of the Company's fiscal year (""Q1 2023"").",CAD,AVNT.TO,ACCESSWIRE - Avant Brands Reports Q1 Fiscal 2023 Results with Third Consecutive Quarter of Positive Adjusted EBITDA and Cash Flow from Operations
fin_news_nlp/yahoo_cad_tickers_news,https://ca.finance.yahoo.com/news/bmo-confirms-election-board-directors-210000230.html,Bank of Montreal (TSX: BMO) (NYSE: BMO) today held its Annual Meeting of Shareholders.,CAD,BMO.TO,CNW Group - BMO Confirms Election of Board of Directors
fin_news_nlp/yahoo_cad_tickers_news,https://ca.finance.yahoo.com/news/am-best-affirms-credit-ratings-155200817.html,"OLDWICK, N.J., April 13, 2023--AM Best has affirmed the Financial Strength Rating (FSR) of A- (Excellent) and the Long-Term Issuer Credit Rating (Long-Term ICR) of ""a-"" (Excellent) of North End Re (Cayman) SPC (NER Cayman) (Cayman Islands). The outlook of these Credit Ratings (ratings) is stable.",CAD,BNRE.TO,Business Wire - AM Best Affirms Credit Ratings of North End Re (Cayman) SPC
fin_news_nlp/yahoo_cad_tickers_news,https://ca.finance.yahoo.com/news/cardinal-energy-ltd-announces-monthly-210000319.html,"CALGARY, Alberta, April 06, 2023 (GLOBE NEWSWIRE) -- Cardinal Energy Ltd. (""Cardinal"" or the ""Company"") (TSX: CJ) confirms that our April dividend of $0.06 per common share will be paid on May 15, 2023 to shareholders of record on April 28, 2023. The Board of Directors of Cardinal has declared the dividend payable in cash. This dividend has been designated as an ""eligible dividend"" for Canadian income tax purposes. About Cardinal Energy Ltd. Cardinal works to continually improve its Environmenta",CAD,CJ.TO,GlobeNewswire - Cardinal Energy Ltd. Announces Monthly Dividend for April
fin_news_nlp/yahoo_cad_tickers_news,https://ca.finance.yahoo.com/news/ces-energy-solutions-corp-provides-200100542.html,"CES Energy Solutions Corp. (""CES"" or the ""Corporation"") (TSX: CEU) (OTC: CESDF) announced today that it will conduct its Q1 2023 conference call on Friday, May 12, 2023 following the upcoming release of its financial results for the first quarter ended March 31, 2023. The respective results are expected to be released after the close of market the day before the conference call. Ken Zinger, President and Chief Executive Officer of CES, will host the call.",CAD,CEU.TO,CNW Group - CES ENERGY SOLUTIONS CORP. PROVIDES Q1 2023 CONFERENCE CALL DETAILS
