source,url,description,country,company,title
fin_news_nlp/yahoo_cad_tickers_news,https://ca.finance.yahoo.com/news/enbridge-tse-enb-pay-larger-142542228.html,Enbridge Inc.'s ( TSE:ENB ) dividend will be increasing from last year's payment of the same period to CA$0.8875 on 1st...,CAD,ENB.TO,Simply Wall St. - Enbridge (TSE:ENB) Will Pay A Larger Dividend Than Last Year At CA$0.8875
fin_news_nlp/yahoo_cad_tickers_news,https://ca.finance.yahoo.com/news/fortuna-challenges-decision-assess-extension-125300482.html,"VANCOUVER, British Columbia, Jan. 05, 2023 (GLOBE NEWSWIRE) -- Fortuna Silver Mines Inc. (NYSE: FSM) (TSX: FVI) reports that its Mexican subsidiary, Compania Minera Cuzcatlan (“Minera Cuzcatlan”), has received written notice of a resolution (the “SEMARNAT Resolution”) issued by the Secretaria de Medio Ambiente y Recursos Naturales (“SEMARNAT”) which provides that SEMARNAT is re-assessing the 12-year extension (“EIA Extension”) to the environmental impact authorization (“EIA”) for the San Jose Mi",CAD,FVI.TO,GlobeNewswire - Fortuna challenges decision to re-assess extension of San Jose Mine Environmental Impact Authorization
fin_news_nlp/yahoo_cad_tickers_news,https://ca.finance.yahoo.com/news/medicenna-strengthens-intellectual-property-protection-141400060.html,"- Patent covers methods of treating cancer with an IL-2 Superkine and PD1/PDL1 or CTLA-4 checkpoint inhibitor, administered in combination or as a single agent BiSKIT™ TORONTO and HOUSTON, Jan. 05, 2023 (GLOBE NEWSWIRE) -- Medicenna Therapeutics Corp. (“Medicenna” or “the Company”) (NASDAQ: MDNA TSX: MDNA), a clinical stage immunotherapy company, today announced that the U.S. Patent and Trademark Office (USPTO) has issued U.S. Patent No. 11,542,312 titled “IL-2 Superagonists in Combination with",CAD,MDNA.TO,GlobeNewswire - Medicenna Strengthens Intellectual Property Protection for MDNA11 and BiSKITs™ Programs with Issuance of U.S. Patent
fin_news_nlp/yahoo_cad_tickers_news,https://ca.finance.yahoo.com/news/dave-mckay-rbc-speak-rbc-140100855.html,"Dave McKay, President and Chief Executive Officer of Royal Bank of Canada (TSX: RY) (NYSE: TSX), is scheduled to speak at the RBC Capital Markets Canadian Bank CEO Conference on January 9, 2023, from 8:40 a.m. to 9:15 a.m. (EST).",CAD,RY.TO,CNW Group - Dave McKay of RBC to Speak at RBC Capital Markets 2023 Canadian Bank CEO Conference
fin_news_nlp/yahoo_cad_tickers_news,https://ca.finance.yahoo.com/m/0607fb65-d79f-35a7-bfe9-64f197456976/shopify-just-threw-a-big.html,"In early 2021, Apple turned the digital advertising world on its head.  This put a multibillion-dollar dent in the online advertising last year, disrupting companies including Alphabet's (NASDAQ: GOOGL) (NASDAQ: GOOG) Google and Facebook parent Meta Platforms (NASDAQ: META), which rely exclusively on targeted ads for the lion's share of their revenue.",CAD,SHOP.TO,Motley Fool - Shopify Just Threw a Big Lifeline to Meta Platforms and Alphabet
fin_news_nlp/yahoo_cad_tickers_news,https://ca.finance.yahoo.com/m/a95d2d61-a6ec-3c7f-8528-6c3cbe28d18b/why-shopify-stock-lost-15%25-in.html,"What happened Shares of superstar e-commerce stock Shopify (NYSE: SHOP) dropped 15% in December according to data provided by S&P Global Market Intelligence. There wasn't any news specific to Shopify in December, but macroeconomic headwinds and a murky outlook impacted many great stocks in the past month.",CAD,SHOP.TO,Motley Fool - Why Shopify Stock Lost 15% in December
fin_news_nlp/yahoo_cad_tickers_news,https://ca.finance.yahoo.com/news/acasti-host-conference-call-tuesday-140000836.html,"LAVAL, Québec, Jan. 05, 2023 (GLOBE NEWSWIRE) -- Acasti Pharma Inc. (“Acasti” or the “Company”) (Nasdaq: ACST and TSX-V: ACST), a late-stage, specialty pharma company advancing three clinical stage drug candidates addressing rare and orphan diseases, today announced that it will host a conference call on Tuesday, January 10, 2023 at 4:30 p.m. ET to review the recently reported preliminary topline results from two separate Phase 1 pharmacokinetic (PK) studies for GTX-101 and GTX-102. Both studies",CAD,ACST.V,"GlobeNewswire - Acasti to Host Conference Call on Tuesday, January 10, 2023 to Discuss Results from Recent Phase 1 PK Studies for GTX-101 and GTX-102 That Met All Outcome Measures"
fin_news_nlp/yahoo_cad_tickers_news,https://ca.finance.yahoo.com/news/ggx-gold-reviewing-critical-mineral-140000316.html,"GGX Gold Corp. (TSX-V:GGX)(OTCQB:GGXXF)(FRA:3SR2) (the ""Company"" or ""GGX"") is pleased to provide an update on the Company's 100% owned Gold Drop property in the Greenwood Mining Camp in British Columbia, Canada.",CAD,GGX.V,ACCESSWIRE - GGX Gold Reviewing Critical Mineral Status Tellurium-Gold Veins
fin_news_nlp/yahoo_cad_tickers_news,https://ca.finance.yahoo.com/news/blackberry-qnx-hypervisor-selected-garmin-130000005.html,"BlackBerry Limited (NYSE: BB; TSX: BB) today announced that Garmin (NYSE: GRMN) has selected BlackBerry® QNX® technology for its next-generation, Android Automotive-based proof of concept demonstration at CES 2023. Garmin's Unified Cabin™ brings together multiple domains, touchscreens and wireless devices on a single SoC (system on chip).",CAD,BB.TO,CNW Group - BlackBerry QNX Hypervisor selected for Garmin Unified Cabin™ Demonstration at CES 2023
fin_news_nlp/yahoo_cad_tickers_news,https://ca.finance.yahoo.com/news/canadian-imperial-cm-asked-pay-140502171.html,Canadian Imperial (CM) needs to pay $848 million in damages to Cerberus in relation to a contract dispute tied to the 2008 global financial crisis.,CAD,CM.TO,Zacks - Canadian Imperial (CM) Asked to Pay $848 Million to Cerberus
fin_news_nlp/yahoo_cad_tickers_news,https://ca.finance.yahoo.com/news/dlp-scottie-52-week-high-154000312.html,DLP Resources Inc. (V.DLP) hit a new 52-week high of 26 cents Thursday. DLP announces receipt of complete ...,CAD,CEE.TO," - DLP, Scottie at 52-Week High on News"
fin_news_nlp/yahoo_cad_tickers_news,https://ca.finance.yahoo.com/news/marsh-mclennan-mmc-unit-buys-115011092.html,"Marsh & McLennan's (MMC) business, Marsh, can gain significantly from the HMS Insurance acquisition through its subsidiary, MMA.",CAD,CIX.TO,Zacks - Marsh & McLennan (MMC) Unit Buys HMS Insurance in Maryland
fin_news_nlp/yahoo_cad_tickers_news,https://ca.finance.yahoo.com/news/1-future-stock-hold-rest-140000740.html,Constellation Software (TSX:CSU) is a future-proof growth stock that could double in 10 years or less. The post 1 “Future” Stock to Hold for the Rest of This Decade appeared first on The Motley Fool Canada.,CAD,CSU.TO,The Motley Fool - 1 “Future” Stock to Hold for the Rest of This Decade
