source,url,description,country,company,title
fin_news_nlp/yahoo_cad_tickers_news,https://ca.finance.yahoo.com/news/andlauer-healthcare-announces-first-quarter-213900394.html,"Andlauer Healthcare Group Inc. (TSX: AND) (""AHG"" or the ""Company"") today announced the Company's first quarter shareholder dividend (encompassing the period from January 1, 2023 to March 31, 2023) in the amount of $0.08 per subordinate voting share and multiple voting share. Payment will be made on April 17, 2023 to shareholders of record as at March 31, 2023.",CAD,AND.TO,CNW Group - Andlauer Healthcare Announces First Quarter Dividend
fin_news_nlp/yahoo_cad_tickers_news,https://ca.finance.yahoo.com/news/b2gold-btg-gains-upbeat-mine-193007024.html,"B2Gold (BTG) gains from improved performance of its mines and strategic actions. However, cost-inflation pressure and market volatility remain headwinds.",CAD,BTO.TO,Zacks - B2Gold (BTG) Gains From Upbeat Mine Performance Amid Cost Woes
fin_news_nlp/yahoo_cad_tickers_news,https://ca.finance.yahoo.com/news/young-investors-3-best-dividend-210000808.html,Are you looking for some of the best dividend stocks to buy? Here are three stellar options to buy now that can provide decades of income. The post Young Investors: 3 Best Dividend Stocks to Buy in March 2023 appeared first on The Motley Fool Canada.,CAD,BMO.TO,The Motley Fool - Young Investors: 3 Best Dividend Stocks to Buy in March 2023
fin_news_nlp/yahoo_cad_tickers_news,https://ca.finance.yahoo.com/news/blackberry-bb-stock-moves-0-220010966.html,"In the latest trading session, BlackBerry (BB) closed at $3.70, marking a -0.54% move from the previous day.",CAD,BB.TO,Zacks - BlackBerry (BB) Stock Moves -0.54%: What You Should Know
fin_news_nlp/yahoo_cad_tickers_news,https://ca.finance.yahoo.com/news/most-actively-traded-companies-toronto-205347443.html,"TORONTO — Some of the most active companies traded Wednesday on the Toronto Stock Exchange: Toronto Stock Exchange (19,378.84, down 315.32): Suncor Energy Inc. (TSX:SU). Energy. Down $2.80, or 6.50 per cent, to $40.27 on 15.4 million shares. Canadian Natural Resources Ltd. (TSX:CNQ). Energy. Down $3.46, or 4.73 per cent, to $69.77 on 15.1 million shares. Athabasca Oil Corp. (TSX:ATH). Energy. Down 14 cents, or 4.71 per cent, to $2.83 on 15.1 million shares. Manulife Financial Corp. (TSX:MFC). Fi",CAD,CVE.TO, - Most actively traded companies on the Toronto Stock Exchange
fin_news_nlp/yahoo_cad_tickers_news,https://ca.finance.yahoo.com/news/cineplex-stock-verge-massive-rally-203000602.html,"Cineplex continues to recover well, and with the stock trading much cheaper than it did before the pandemic, it's one of the best to buy now. The post Is Cineplex Stock on the Verge of a Massive Rally? appeared first on The Motley Fool Canada.",CAD,CGX.TO,The Motley Fool - Is Cineplex Stock on the Verge of a Massive Rally?
fin_news_nlp/yahoo_cad_tickers_news,https://ca.finance.yahoo.com/news/constellation-software-inc-lumine-group-003800582.html,"TORONTO, March 15, 2023 (GLOBE NEWSWIRE) -- Lumine Group Inc. (“Lumine Group”) in a joint release with Constellation Software Inc. (TSX:CSU) (“Constellation”) today announced financial results for Lumine Group (Holdings) Inc. (the “Company”), an indirect wholly owned subsidiary of Constellation, for the fourth quarter and year ended December 31, 2022. Please note that all amounts referred to in this press release are in US dollars unless otherwise stated. The following press release should be re",CAD,CSU.TO,"GlobeNewswire - Constellation Software Inc. and Lumine Group Inc. Announce Results for Lumine Group (Holdings) Inc. for the Fourth Quarter and Year Ended December 31, 2022"
fin_news_nlp/yahoo_cad_tickers_news,https://ca.finance.yahoo.com/news/currency-exchange-international-announces-32-210000779.html,"TORONTO, March 15, 2023 (GLOBE NEWSWIRE) -- Currency Exchange International, Corp. (the “Group” or “CXI”) (TSX: CXI; OTCBB: CURN), announces its financial results and Management’s Discussion and Analysis (“MD&A”) for the three-months ended January 31, 2023 (all figures are in U.S. dollars except where otherwise indicated). The complete financial statements and MD&A can be found on the Group's SEDAR profile at www.sedar.com. Randolph Pinna, CEO of the Group, stated, “The first quarter of 2023 dem",CAD,CXI.TO,"GlobeNewswire - Currency Exchange International Announces 32% Increase in Revenue for the Three-Months Ended January 31, 2023 versus the Prior Year"
fin_news_nlp/yahoo_cad_tickers_news,https://ca.finance.yahoo.com/news/1-tsx-stock-channel-inner-190000676.html,"Having patience and buying stocks for the long haul, like Warren Buffett, is the best way to set yourself up for long-term success. The post 1 TSX Stock to Channel Your Inner Warren Buffett (and Profit for Decades) appeared first on The Motley Fool Canada.",CAD,DOL.TO,The Motley Fool - 1 TSX Stock to Channel Your Inner Warren Buffett (and Profit for Decades)
fin_news_nlp/yahoo_cad_tickers_news,https://ca.finance.yahoo.com/news/faraday-copper-reports-2022-financial-210500758.html,"Faraday Copper Corp. (""Faraday"" or the ""Company"") (TSX:FDY) announces its financial results for the year ended December 31, 2022.",CAD,FDY.TO,ACCESSWIRE - Faraday Copper Reports 2022 Financial Results
