source,url,description,country,company,title
fin_news_nlp/yahoo_cad_tickers_news,https://ca.finance.yahoo.com/news/aritzia-reports-record-revenue-third-223257510.html,"Aritzia Inc. says it had record quarterly revenue in its third quarter as it made gains company wide including notable growth in the U.S. and online. The Vancouver-based clothing retailer says net revenue of $624.6 million for the quarter ending Nov. 27 was an increase of 38 per cent from a year earlier. Net income of $70.7 million for the third quarter of fiscal 2023 was an increase of 8.9 per cent from a year earlier. Aritzia says revenue in the U.S. was up 58 per cent, while total e-commerce",CAD,ATZ.TO,"The Canadian Press - Aritzia reports record revenue in third quarter, profit of $70.7 million"
fin_news_nlp/yahoo_cad_tickers_news,https://ca.finance.yahoo.com/news/aritzia-reports-third-quarter-fiscal-210100529.html,"Aritzia Inc. (TSX: ATZ) (""Aritzia"", the ""Company"", ""we"" or ""our""), a vertically integrated, innovative design house offering Everyday Luxury online and in its boutiques, today announced its financial results for third quarter fiscal 2023 ended November 27, 2022 (""Q3 2023"").",CAD,ATZ.TO,CNW Group - Aritzia Reports Third Quarter Fiscal 2023 Financial Results
fin_news_nlp/yahoo_cad_tickers_news,https://ca.finance.yahoo.com/news/buy-top-canadian-energy-stocks-230000620.html,"Canada’s energy stocks comprise oil and gas, and renewable energy stocks that move in the opposite direction. Which ones are a buy in 2023? The post Should You Buy Top Canadian Energy Stocks of 2022 in 2023? appeared first on The Motley Fool Canada.",CAD,BLDP.TO,The Motley Fool - Should You Buy Top Canadian Energy Stocks of 2022 in 2023?
fin_news_nlp/yahoo_cad_tickers_news,https://ca.finance.yahoo.com/news/bengal-provides-operations-wareena-natural-000000577.html,"Calgary, Alberta--(Newsfile Corp. - January 11, 2023) - Bengal Energy Ltd. (TSX: BNG) (""Bengal"" or the ""Company"") is pleased to announce an operations update on its Wareena workover project. Natural gas well testing operations commenced in December 2022 with both the Wareena 1 and Wareena 5 wells being reperforated and tested from the PC 20 zone. Due to surface facility fluid capacity limitations and time constraints, the Company was unable to complete testing operations. ...",CAD,BNG.TO,Newsfile - Bengal Provides Operations Update for Wareena Natural Gas Well Workover Program
fin_news_nlp/yahoo_cad_tickers_news,https://ca.finance.yahoo.com/news/blackberry-stock-recover-2023-210000518.html,"BlackBerry stock lost 55% last year, notably lagging peers. The post Will BlackBerry Stock Recover in 2023? appeared first on The Motley Fool Canada.",CAD,BB.TO,The Motley Fool - Will BlackBerry Stock Recover in 2023?
fin_news_nlp/yahoo_cad_tickers_news,https://ca.finance.yahoo.com/news/canfor-pulp-announces-sizing-operating-004500079.html,"Following extensive analysis of its operating footprint and the long-term supply of economic residual fibre, Canfor Pulp Products Inc. (TSX: CFX) is announcing the decision to permanently close the pulp line at its Prince George Pulp and Paper Mill, which will result in a reduction of 280,000 tonnes of market kraft pulp annually. The Specialty Paper facility at the site will continue to operate.",CAD,CFX.TO,CNW Group - Canfor Pulp Announces Right-sizing of Operating Footprint with Permanent Closure of Pulp Line at Prince George Pulp and Paper Mill
fin_news_nlp/yahoo_cad_tickers_news,https://ca.finance.yahoo.com/news/most-actively-traded-companies-toronto-221846255.html,"TORONTO — Some of the most active companies traded Wednesday on the Toronto Stock Exchange: Toronto Stock Exchange (20,025.05, up 126.19 points): Cenovus Energy Inc. (TSX:CVE). Energy. Down 37 cents, or 1.47 per cent, at $24.79 on 7.9 million shares. Toronto-Dominion Bank (TSX:TD). Financials. Up 46 cents, or 0.54 per cent, to $86.46 on 7.8 million shares. Enbridge Inc. (TSX:ENB). Energy. Up 44 cents, or 0.8 per cent, to $55.48 on 6.2 million shares. Manulife Financial Corp. (TSX:MFC). Financial",CAD,CVE.TO, - Most actively traded companies on the Toronto Stock Exchange
fin_news_nlp/yahoo_cad_tickers_news,https://ca.finance.yahoo.com/news/ero-copper-announces-retirement-noel-220100972.html,"VANCOUVER, British Columbia, Jan. 11, 2023 (GLOBE NEWSWIRE) -- Ero Copper Corp. (TSX: ERO, NYSE: ERO) (""Ero"" or the “Company”) announces the retirement of Noel Dunn from his executive position of Executive Chairman as part of the Company's overall succession planning. Noel Dunn will remain Chairman of Ero's Board of Directors. Commenting on Noel Dunn's retirement, David Strang, Chief Executive Officer, said ""Noel's contributions have been instrumental in the success of this Company since we foun",CAD,ERO.TO,GlobeNewswire - Ero Copper Announces Retirement of Noel Dunn as Executive Chairman
fin_news_nlp/yahoo_cad_tickers_news,https://ca.finance.yahoo.com/news/1-panama-says-first-quantum-000409363.html,"The 10-day limit set by Panama's government last month for Canadian miner First Quantum to offer a plan to shut down its copper mine amid a contentious contract dispute has not yet started, the country's commerce minister said on Wednesday.  The order to pause operations at the massive Cobre Panama mine stems from a dispute that started in late 2021, after a Supreme Court ruling declared unconstitutional the law under which the contract was signed.  The government on Tuesday called the contract invalid, whereas First Quantum asserts the contract remains valid.",CAD,FM.TO, - REFILE-UPDATE 3-Clock not yet ticking for First Quantum to halt Panama mine -minister
fin_news_nlp/yahoo_cad_tickers_news,https://ca.finance.yahoo.com/news/clock-not-yet-ticking-first-233557524.html,"The 10-day limit set by Panama's government last month for Canadian miner First Quantum to offer a plan to shut down its copper mine amid a contentious contract dispute has not yet started, the country's commerce minister said on Wednesday.  The order to pause operations at the massive Cobre Panama mine stems from a dispute that started in late 2021, after a Supreme Court ruling declared unconstitutional the law under which the contract was signed.  The government on Tuesday called the contract invalid, whereas First Quantum asserts the contract remains valid.",CAD,FM.TO,Reuters - Clock not yet ticking for First Quantum to halt Panama mine -minister
fin_news_nlp/yahoo_cad_tickers_news,https://ca.finance.yahoo.com/news/tfsa-passive-income-3-top-190000592.html,Are you interested in beating inflation? These dividend stocks could help you do that! The post TFSA Passive Income: 3 Top Dividend Stocks to Beat Inflation appeared first on The Motley Fool Canada.,CAD,FTS.TO,The Motley Fool - TFSA Passive Income: 3 Top Dividend Stocks to Beat Inflation
fin_news_nlp/yahoo_cad_tickers_news,https://ca.finance.yahoo.com/news/generate-over-550-passive-income-210000152.html,Canadian investors can churn out huge passive income -- TAX FREE! -- with stocks like TransAlta Renewables Inc. (TSX:RNW). The post How to Generate Over $550 in Passive Income Each Month — TAX FREE! appeared first on The Motley Fool Canada.,CAD,FRU.TO,The Motley Fool - How to Generate Over $550 in Passive Income Each Month — TAX FREE!
fin_news_nlp/yahoo_cad_tickers_news,https://ca.finance.yahoo.com/news/blackrock-canada-announces-fee-reductions-220500813.html,"TORONTO, Jan. 11, 2023 (GLOBE NEWSWIRE) -- BlackRock Asset Management Canada Limited (“BlackRock Canada”), an indirect, wholly-owned subsidiary of BlackRock, Inc. (“BlackRock”) (NYSE: BLK) today announced that effective on January 12, 2023, the annual management fees of the following iShares exchange-traded funds (“iShares Funds”) will change as follows: NameTickerCurrent Management Fee(1)New Management Fee(1)iShares Floating Rate Index ETFXFR0.20% 0.12% iShares Premium Money Market ETFCMR0.25%",CAD,XUS.TO,GlobeNewswire - BlackRock® Canada Announces Fee Reductions
fin_news_nlp/yahoo_cad_tickers_news,https://ca.finance.yahoo.com/news/keyera-announces-january-2023-dividend-220000545.html,"Keyera Corp. (TSX: KEY) (""Keyera"") announced today a cash dividend for January 2023 of 16.00 cents per common share. The dividend will be payable on February 15, 2023, to shareholders of record on January 23, 2023. The ex-dividend date is January 20, 2023. This dividend is an eligible dividend for the purposes of the Income Tax Act (Canada). For non-resident shareholders, Keyera's dividends are subject to Canadian withholding tax.",CAD,KEY.TO,CNW Group - Keyera Announces January 2023 Dividend
fin_news_nlp/yahoo_cad_tickers_news,https://ca.finance.yahoo.com/news/kinross-announce-2022-q4-full-220000931.html,"Company also provides 2023 quarterly reporting datesTORONTO, Jan. 11, 2023 (GLOBE NEWSWIRE) -- Kinross Gold Corporation (TSX:K; NYSE:KGC) (the “Company”) will release its 2022 fourth-quarter and full-year financial statements and operating results on Wednesday, February 15, 2023, after market close. The Company will also provide its full-year 2023 guidance, mineral reserve, and mineral resource statement as of December 31, 2022, and an exploration and project update. Kinross will hold a conferen",CAD,K.TO,"GlobeNewswire - Kinross to announce 2022 Q4/full-year results and 2023 guidance on February 15, 2023"
fin_news_nlp/yahoo_cad_tickers_news,https://ca.finance.yahoo.com/news/mediavalet-announces-credit-facility-increase-220000380.html,"Vancouver, British Columbia--(Newsfile Corp. - January 11, 2023) - MediaValet Inc. (TSX: MVP) (the Company), a leading provider of enterprise digital asset management (DAM), video content management and creative operations software, is pleased to announce its credit facility with TD Bank Group has been increased to $9 million (previously $7M).""The increase in our revolving credit facility aligns with the increase of our annual recurring revenue in 2022 and supports our expected growth in the ...",CAD,MVP.TO, - MediaValet Announces Credit Facility Increase to $9M
